Block	Timestamp	DateTime	#BancorTxs	NonBancorTxs	#BancorErrorTxs	NonBancorErrorTxs	Bancor%	BlockGasUsed	BlockGasLimit	Used%	Miner
3861203	1497276017	Mon, 12 Jun 2017 14:00:17 UTC	5	112	0	0	4.273504273504273	4661631	4703161	99.11697685875521	0x61c808d82a3ac53231750dadc13c777b59310bd9
3861204	1497276027	Mon, 12 Jun 2017 14:00:27 UTC	0	0	0	0	0	840000	4698593	17.877692321935523	0x2a65aca4d5fc5b5c859090a6c34d164135398226
3861205	1497276042	Mon, 12 Jun 2017 14:00:42 UTC	0	160	0	0	0	3995779	4703144	84.95974182376725	0xea674fdde714fd979de3edf0f56aa9716b898ec8
3861206	1497276054	Mon, 12 Jun 2017 14:00:54 UTC	0	2	0	0	0	4697248	4707732	99.7773025312401	0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
3861207	1497276070	Mon, 12 Jun 2017 14:01:10 UTC	0	0	0	0	0	0	4703144	0	0x2a65aca4d5fc5b5c859090a6c34d164135398226
3861208	1497276085	Mon, 12 Jun 2017 14:01:25 UTC	0	5	0	0	0	4618270	4698556	98.29126225163645	0xa42af2c70d316684e57aefcc6e393fecb1c7e84e
3861209	1497276103	Mon, 12 Jun 2017 14:01:43 UTC	0	127	0	0	0	3215464	4703107	68.36893143192361	0xea674fdde714fd979de3edf0f56aa9716b898ec8
3861210	1497276112	Mon, 12 Jun 2017 14:01:52 UTC	25	14	0	1	62.5	4660776	4698516	99.19676766025698	0x61c808d82a3ac53231750dadc13c777b59310bd9
3861211	1497276121	Mon, 12 Jun 2017 14:02:01 UTC	0	5	0	0	0	4676744	4693931	99.63384634328881	0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5
3861212	1497276133	Mon, 12 Jun 2017 14:02:13 UTC	22	2	0	0	91.66666666666667	4692053	4698482	99.86316857231762	0x1e9939daaad6924ad004c2560e90804164900341
3861213	1497276203	Mon, 12 Jun 2017 14:03:23 UTC	0	10	0	0	0	4691231	4693895	99.94324542837026	0xc0ea08a2d404d3172d2add29a45be56da40e2949
3861214	1497276205	Mon, 12 Jun 2017 14:03:25 UTC	16	117	0	0	12.030075187969924	4626593	4689313	98.66249064628444	0x61c808d82a3ac53231750dadc13c777b59310bd9
3861215	1497276232	Mon, 12 Jun 2017 14:03:52 UTC	0	15	0	0	0	4671322	4684755	99.71326141922043	0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5
3861216	1497276243	Mon, 12 Jun 2017 14:04:03 UTC	23	14	0	0	62.16216216216216	4666605	4680204	99.70943574254456	0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5
3861217	1497276250	Mon, 12 Jun 2017 14:04:10 UTC	44	11	0	0	80	4600468	4684755	98.20082373571297	0x1e9939daaad6924ad004c2560e90804164900341
