No	Address	Ethers	SumEthers	totalEtherContributed	totalEtherCap	Excess	Tokens	SumTokens	BlockNumber	TxIndx	Timestamp	Time	TxHash
0	0xeb68aa2764b4a9a943658b2e61db4c902b2ebf85	0.01	0.01	0.01	1000000	0	1	1	3851355	31	1497113923	Sun, 11 Jun 2017 02:58:43 AEST	0xf125676c8aa70d8b15fe2011415286f91a89afdcc4c0956c012b81b5b16f4f1e
1	0xeb68aa2764b4a9a943658b2e61db4c902b2ebf85	19999.99	20000	20000	1000000	0	1999999	2000000	3860991	65	1497272344	Mon, 12 Jun 2017 22:59:04 AEST	0x5a9c1306ce7346e7540dae4dbf98a74ad5f7e1a65913112e4a35bc68a277a8f0
2	0x5dacbdd20b9eafaaa30bfad3b2af1793036d65f3	2	20002	20031.19	1000000	0	200	2000200	3861203	67	1497276017	Tue, 13 Jun 2017 00:00:17 AEST	0x7c36cb2aaf1085c49f8786993fb2593e6080006a3d25c3605ae97bb333f095cd
3	0xc1137d2f9272f339f6fc6b8e249483f78a1e0ea3	2.19	20004.19	20031.19	1000000	0	219	2000419	3861203	68	1497276017	Tue, 13 Jun 2017 00:00:17 AEST	0xdcab6e56839ef3b2065d82270c7edefb2a74345598373ef6c67e7e3d98459059
4	0x27516b47c217b6cca6f1239ca892cc06a9f3e9bd	10	20014.19	20031.19	1000000	0	1000	2001419	3861203	127	1497276017	Tue, 13 Jun 2017 00:00:17 AEST	0x6b8b02babf0d4cf75b2be9048542ae0f96e9d2a446c01bf925c3c38f2c426be9
5	0xb3db4ca69b5dd9855ec0e39fae5ba7d6afcaa34c	12	20026.19	20031.19	1000000	0	1200	2002619	3861203	129	1497276017	Tue, 13 Jun 2017 00:00:17 AEST	0x01b586842dd72eb4126a33151367fe41507fefbab0d0bfcb37b97bcc34ccd165
6	0x142a03533b2bf92dfce01b8aac6ae5d585e0f7fb	5	20031.19	20031.19	1000000	0	500	2003119	3861203	132	1497276017	Tue, 13 Jun 2017 00:00:17 AEST	0x104c0e9994b4fb2b89aaffc93b1cb75b9bc3edb6316c4602ea37281a8601856e
7	0x525e473fe7a2bc876de360af81b439411bdb676d	2.5988250846478354	20033.7888250846478354	21820.372808866992394671	1000000	0	259.88250846478354	2003378.88250846478354	3861210	21	1497276112	Tue, 13 Jun 2017 00:01:52 AEST	0x0c52cf784b158e2996d6a6d569e5e80736c14adae4c94d7618f5849b38677486
8	0x01feab1f39842faf1b5fe6fea617045553303876	21.447065976344559271	20055.235891060992394671	21820.372808866992394671	1000000	0	2144.7065976344559271	2005523.5891060992394671	3861210	22	1497276112	Tue, 13 Jun 2017 00:01:52 AEST	0x21835743e641d696a126a366345e818deeedff668afa17e6120816ae189696c4
9	0x9fc661a0b2f4b7be69382fe324fdb7e27ba71b8f	133.975734808	20189.211625868992394671	21820.372808866992394671	1000000	0	13397.5734808	2018921.1625868992394671	3861210	23	1497276112	Tue, 13 Jun 2017 00:01:52 AEST	0xf792ba312f19445ce782e85312d5be21c3e5df6b03f542914febac8a01c2fca8
10	0x02cac6c535b0c78646cfb4d87721ca7c0d68c467	2.334907134	20191.546533002992394671	21820.372808866992394671	1000000	0	233.4907134	2019154.6533002992394671	3861210	32	1497276112	Tue, 13 Jun 2017 00:01:52 AEST	0x04b6e7dd2d76835bd9343e48a9c575bdb9b3ac262f4832d57ae9ae10c0df9482
11	0xaae5ffc750ab89b26e354eeaea5c6d7f32b367d1	0.726275864	20192.272808866992394671	21820.372808866992394671	1000000	0	72.6275864	2019227.2808866992394671	3861210	33	1497276112	Tue, 13 Jun 2017 00:01:52 AEST	0xf620b4b5139d63fa320e421e5c58d2b11b09cc8fce8a55e1ebfeb2d0817d35c6
12	0x9a6cdf8221636d503773aad48dd3998e4ae03a5d	60	20252.272808866992394671	21820.372808866992394671	1000000	0	6000	2025227.2808866992394671	3861210	35	1497276112	Tue, 13 Jun 2017 00:01:52 AEST	0x6c62c71b7e779a8fc22a5dad89d6ceb3686682bf1419966ff4220e97c8c0c441
13	0x2136d7c1f1e2d5f0841c317eed3056e97d26147d	1	20253.272808866992394671	21820.372808866992394671	1000000	0	100	2025327.2808866992394671	3861210	36	1497276112	Tue, 13 Jun 2017 00:01:52 AEST	0x1fc5e04bff03871b6f6b8634ff93e4b879d7919ca513507b3dcc45e1d1f70252
14	0xd359888ac7cd29f0b3af19b38ed7018bb33820a9	1	20254.272808866992394671	21820.372808866992394671	1000000	0	100	2025427.2808866992394671	3861210	37	1497276112	Tue, 13 Jun 2017 00:01:52 AEST	0x3b965712e865cb10e249332927efcb056803341efad58cf3698c5263eaa00459
